[2023/07/24 05:57:51] - Namespace(cGAN=False, arch='ResNet18', target_arch='ResNet18', target_defense='AT_v2', target_dir='./checkpoints/', data='CIFAR100', test_batch_size=500, data_path='~/datasets/', batch_size=512, epochs=300, lr=0.1, momentum=0.9, weight_decay=0.0001, steps_S=500, steps_G=15, lr_G=0.005, lr_z=0.015, gen_dim_z=256, gen_distribution='normal', lr_hee=0.03, steps_hee=10, query_mode='hee', epsilon=0.03137254901960784, num_steps=10, step_size=0.00784313725490196, result_dir='results/GAN', save_freq=50, seed=1, lam=3.0, label_smooth_value=0.02)
[2023/07/24 06:06:51] - Epoch 1 Finish, Time Cost 536, nature_acc 0.0195, robust_acc 0.0104
[2023/07/24 06:14:44] - Epoch 2 Finish, Time Cost 472, nature_acc 0.0244, robust_acc 0.0101
[2023/07/24 06:22:15] - Epoch 3 Finish, Time Cost 451, nature_acc 0.0245, robust_acc 0.0118
[2023/07/24 06:29:37] - Epoch 4 Finish, Time Cost 441, nature_acc 0.0439, robust_acc 0.0185
[2023/07/24 06:36:54] - Epoch 5 Finish, Time Cost 437, nature_acc 0.0595, robust_acc 0.0232
[2023/07/24 06:44:09] - Epoch 6 Finish, Time Cost 434, nature_acc 0.0843, robust_acc 0.0335
[2023/07/24 06:51:20] - Epoch 7 Finish, Time Cost 431, nature_acc 0.1079, robust_acc 0.0383
[2023/07/24 06:58:29] - Epoch 8 Finish, Time Cost 428, nature_acc 0.1401, robust_acc 0.0482
[2023/07/24 07:05:37] - Epoch 9 Finish, Time Cost 427, nature_acc 0.1506, robust_acc 0.0509
[2023/07/24 07:12:42] - Epoch 10 Finish, Time Cost 424, nature_acc 0.1871, robust_acc 0.0604
[2023/07/24 07:19:45] - Epoch 11 Finish, Time Cost 423, nature_acc 0.1928, robust_acc 0.0629
[2023/07/24 07:26:48] - Epoch 12 Finish, Time Cost 422, nature_acc 0.2181, robust_acc 0.0681
[2023/07/24 07:33:49] - Epoch 13 Finish, Time Cost 421, nature_acc 0.2229, robust_acc 0.0680
[2023/07/24 07:40:52] - Epoch 14 Finish, Time Cost 422, nature_acc 0.2482, robust_acc 0.0781
[2023/07/24 07:47:54] - Epoch 15 Finish, Time Cost 421, nature_acc 0.2436, robust_acc 0.0790
[2023/07/24 07:54:55] - Epoch 16 Finish, Time Cost 420, nature_acc 0.2653, robust_acc 0.0828
[2023/07/24 08:01:56] - Epoch 17 Finish, Time Cost 420, nature_acc 0.2603, robust_acc 0.0815
[2023/07/24 08:08:56] - Epoch 18 Finish, Time Cost 420, nature_acc 0.2825, robust_acc 0.0847
[2023/07/24 08:15:56] - Epoch 19 Finish, Time Cost 419, nature_acc 0.2940, robust_acc 0.0867
[2023/07/24 08:22:56] - Epoch 20 Finish, Time Cost 419, nature_acc 0.3105, robust_acc 0.0951
[2023/07/24 08:29:56] - Epoch 21 Finish, Time Cost 419, nature_acc 0.2970, robust_acc 0.0950
[2023/07/24 08:36:57] - Epoch 22 Finish, Time Cost 420, nature_acc 0.3081, robust_acc 0.0944
[2023/07/24 08:43:58] - Epoch 23 Finish, Time Cost 421, nature_acc 0.3077, robust_acc 0.0990
[2023/07/24 08:50:58] - Epoch 24 Finish, Time Cost 419, nature_acc 0.3348, robust_acc 0.0979
[2023/07/24 08:57:57] - Epoch 25 Finish, Time Cost 418, nature_acc 0.3340, robust_acc 0.1064
[2023/07/24 09:04:56] - Epoch 26 Finish, Time Cost 418, nature_acc 0.3368, robust_acc 0.1025
[2023/07/24 09:11:54] - Epoch 27 Finish, Time Cost 418, nature_acc 0.3471, robust_acc 0.1103
[2023/07/24 09:18:53] - Epoch 28 Finish, Time Cost 418, nature_acc 0.3445, robust_acc 0.1075
[2023/07/24 09:25:51] - Epoch 29 Finish, Time Cost 417, nature_acc 0.3490, robust_acc 0.1094
[2023/07/24 09:32:49] - Epoch 30 Finish, Time Cost 417, nature_acc 0.3593, robust_acc 0.1147
[2023/07/24 09:39:47] - Epoch 31 Finish, Time Cost 418, nature_acc 0.3567, robust_acc 0.1080
[2023/07/24 09:46:39] - Epoch 32 Finish, Time Cost 411, nature_acc 0.3612, robust_acc 0.1134
